"";"envir_willigness ";"age ";"TOPBOT ";"female_0 ";"female_1 ";"education_Upper secondary education ";"education_No education, incomplete primary ";"education_Primary education ";"education_Lower secondary education ";"education_Post secondary, non-tertiary ";"education_Short-cycle tertiary ";"education_Lower tertiary, BA ";"education_Upper tertiary, MA ";"education_PhD, Post tertiary specialization "
"envir_willigness";" 1.000   ";"";"";"";"";"";"";"";"";"";"";"";"";""
"age";"-0.011*  ";" 1.000   ";"";"";"";"";"";"";"";"";"";"";"";""
"TOPBOT";" 0.175***";"-0.011*  ";" 1.000   ";"";"";"";"";"";"";"";"";"";"";""
"female_0";"-0.014** ";" 0.007   ";" 0.028***";" 1.000   ";"";"";"";"";"";"";"";"";"";""
"female_1";" 0.014** ";"-0.007   ";"-0.028***";"-1.000***";" 1.000   ";"";"";"";"";"";"";"";"";""
"education_Upper secondary education";"-0.063***";"-0.063***";"-0.057***";" 0.008   ";"-0.008   ";" 1.000   ";"";"";"";"";"";"";"";""
"education_No education, incomplete primary";" 0.020***";" 0.086***";"-0.077***";"-0.038***";" 0.038***";"-0.127***";" 1.000   ";"";"";"";"";"";"";""
"education_Primary education";"-0.044***";" 0.161***";"-0.122***";"-0.022***";" 0.022***";"-0.198***";"-0.049***";" 1.000   ";"";"";"";"";"";""
"education_Lower secondary education";"-0.067***";" 0.063***";"-0.127***";" 0.012** ";"-0.012** ";"-0.291***";"-0.073***";"-0.113***";" 1.000   ";"";"";"";"";""
"education_Post secondary, non-tertiary";"-0.011*  ";" 0.018***";" 0.006   ";" 0.018***";"-0.018***";"-0.128***";"-0.032***";"-0.050***";"-0.073***";" 1.000   ";"";"";"";""
"education_Short-cycle tertiary";"-0.006   ";"-0.005   ";"-0.005   ";"-0.008   ";" 0.008   ";"-0.240***";"-0.060***";"-0.093***";"-0.137***";"-0.060***";" 1.000   ";"";"";""
"education_Lower tertiary, BA";" 0.087***";"-0.116***";" 0.131***";"-0.012*  ";" 0.012*  ";"-0.310***";"-0.077***";"-0.120***";"-0.177***";"-0.078***";"-0.146***";" 1.000   ";"";""
"education_Upper tertiary, MA";" 0.071***";"-0.036***";" 0.171***";" 0.010*  ";"-0.010*  ";"-0.253***";"-0.063***";"-0.098***";"-0.145***";"-0.063***";"-0.119***";"-0.154***";" 1.000   ";""
"education_PhD, Post tertiary specialization";" 0.081***";" 0.027***";" 0.113***";" 0.036***";"-0.036***";"-0.089***";"-0.022***";"-0.035***";"-0.051***";"-0.022***";"-0.042***";"-0.054***";"-0.044***";" 1.000   "
